Title,LUGAR,FREGUESIA,CONCELHO,DISTRITO,PAINEL,DATA,Latitude,Longitude,DESCRIÇÃO DO ORATÓRIO,AUTOR RECOLHA,CAIXA DE ESMOLAS,PROTEÇÃO,ALTURA RET (cm),LARGURA RET (cm),PROFUNDIDADE RET (cm),DATA ÚLTIMA ATUALIZAÇÃO,REFERÊNCIAS CONHECIDAS,OBS
0029-OAZ-AV,"Quinta, R. Prof. Maria Lurdes São Bravo",Pindelo,Oliveira de Azeméis,Aveiro,"Sim. «[...] painel de madeira [...] onde se pintou a imagem de Cristo crucificado ladeado por S. Miguel e N. Sr.ª do Carmo [...]», VIDE MARQUES, p. 100, 2001",sd,40.878871,-8.437788,"«Alminhas em granito [...] coroadas po pináculos de remate triangular que ladeiam cruz assente em pequena base. De formato rectangular, o monumento monumento apresenta nicho de núcleo redondo decorado lateralmente com ornatos em relevo que formam colunas assentes em pedestal e sobre as quais se ergue de volta inteira com o mesmo trabalhado [...]», VIDE MARQUES, p. 100, 2001",Inventário: Maria Clara Vide Marques / Foto: Fernando Correia,Não,Sim. Gradeamento em ferro com vidro no interior.,,,,Foto: 29/08/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0030-OAZ-AV,"Ossela, Rua Ferreira de Castro",Ossela,Oliveira de Azeméis,Aveiro,"Sim. «[...] na parede, painel policromado, em madeira, onde se pintou composição formada por Cristo crucificado, na parte superior, ladeado por Santo António, à esquerda e, S. miguel Arcanjo, à direita. Ao fundo, no meio das chamas, as almas [..]», VIDE MARQUES, p. 89, 2001",sd,40.835452,-8.421830,"«Alminhas oratório, em forma de capelinha, são conhecidas por ""Alminhas da Ponte dos Salgueiros"". Apresentam frontão triangular em degrau rematado por cruz [...] porta de ferro com moldura de cantaria e recorre superior arredondado [...]», VIDE MARQUES, p. 89, 2001",Inventário: Maria Clara Vide Marques / Foto: Fernando Correia,Não,Sim. Com porta em ferro.,,,,Foto: 03/08/2018,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0050-OAZ-AV,"Fontanheira, Rua da Fontanheira",Carregosa,Oliveira de Azeméis,Aveiro,Sim. Em azulejo com Cristo crucificado.,sd,40.879851,-8.426112,"Alminhas «[...] embutidas no muro de uma propriedade rural. Alminhas formadas por um conjunto de três monumentos [...] As alminhas laterais [...] não conservam  actualmente qualquer imagem ou painel. Ao centro, antigas alminhas em granito de formato rectangular. Apresentam nicho de moldura superior rematada por cruz ao centro e pináculos laterais em relevo. Por baixo da edícula, campo epigráfico danificado pela colocalção posterior em ferro [...]», VIDE MARQUES, p. 22, 2001.",Inventário: Maria Clara Vide Marques / Foto: Fernando Correia,Sim.,Sim. Gradeamento metálico com ornamentos.,,,,Foto: 14/09/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0083-OAZ-AV,"Cucujães, Rua Clube Desportivo",Couto de Cucujães,Oliveira de Azeméis,Aveiro,"Não. «[...] O interior [...] guarda colocada sobre peestal granítico uma grande imagem de Cristo crucificado.», VIDE MARQUES, p. 39, 2001.",sd,40.874146,-8.508456,"Alminhas «[...] incrustadas no muro de uma casa senhorial. Dedicadas ao Senhor Jesus, apreasentam configuração rectangular e remate em cruz. Lateralmente o monumento apresenta arco de configuração arredondada apoiado em duas colunas [...]», VIDE MARQUES, p. 39, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,?,Sim. Porta em gradeamento metálico adornado.,,,,Foto: 27/09/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0084-OVR-AV,"Rio de Ossos, Rua da Misericórdia",Couto de Cucujães,Oliveira de Azeméis,Aveiro,Não.,sd,40.870199,-8.519168,Alminhas em granito com nicho de topo arredondado e ramatado com cruz e dois pináculos em relevo. Envolvida por construção recente em cimento.,Fernando Correia,?,Sim. Porta em gradeamento metálico adornado.,,,,27/09/2020,,
0093-OAZ-AV,"Cimo de Vila, Rua 5 de Outubro",Cesar,Oliveira de Azeméis,Aveiro,"Sim. «[...] painel de azulejos azul e branco da marca Aleluia - Aveiro, assinado por A.C.R.C.. A composição é formada por Cristo crucificado, representado ao cimo do lado direito. Um pouco abaixo, anjos acólitos auxiliam as almas que expiam as suas penas nas labareda [...] Destaca-se nesta representação a ironia marcada pela figura de um clérigo, numa clara alusão à igualdade social depois da morte [...]», VIDE MARQUES, p.  29, 2001.",sd,40.917770,-8.444219,"«[...] alminhas, bastante esguias, de remate triangular. O nicho de moldura saliente, aprsenta recorte superior arredondado, sobre o qual se ergue fina cruz relevada. [...]», VIDE MARQUES, p. 29, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Não.,Sim. Gradeamento de ferro adornado.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0094-OAZ-AV,"Cimo de Vila, Rua 5 de Outubro",Cesar,Oliveira de Azeméis,Aveiro,"Não. «[...] A edícula [...] alberga no interior gravura em papel com a representação de S. Miguel Arcanjo e, ao fundo, as almas do purgatório.», VIDE MARQUES, p. 30, 2001.",sd,40.917149,-8.442581,"«[...] Alminhas em granito, de grande valor artístico, são conhecidas por ""Alminhas dos Claudinos"". De formato rectangular, o monumento apresenta decoração arquitectónica com colunas que suportam um frontão curvo decorado com motivos florais e rematado por cruz trabalhada ladeada por coruchéus. O nicho, assente em parapeito, ostenta recorte superior arredondado com moldura trabalhada, encimada por decoração em relevo. Por baixo, campo epigráfico hoje imperceptível que remata inferiormente por decoração vegetalista também relevada. [...]», VIDE MARQUES, p. 30, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Não.,Sim. Gradeamento de ferro adornado.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0095-OAZ-AV,"Gandra, Rua Central de Cesar",Cesar,Oliveira de Azeméis,Aveiro,"Não. «[...] gravura sobre papel com a representação de N. Sra do Carmo ladeada por anjos acólitos. Ao fundo, as almas no fogo do purgatório.», VIDE MARQUES, p. 28, 2001.",1950,40.913956,-8.434260,"A edificação original foi recentemente envolta por moldura dupla de topo triangular (2020). «Alminhas em granito, de nicho emoldurado e topo triangular. A moldura faz ligação com a cruz relevada que encima o monumento. Edícula de corte superior arredondado [...]», VIDE MARQUES, p. 28, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Não.,Sim. Gradeamento de ferro adornado.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0096-OAZ-AV,"Azagães, Rua São Salvador",Carregosa,Oliveira de Azeméis,Aveiro,"Sim. «[...] painel de azulejos, representando Cristo crucificado ladeado por dois querubins, com cálices, recebendo o sangue que cai das chagas das mãos. Ao fundo outros dois anjos ajudam as almas a saírem das chamas do purgatório. Por baixo a legenda: ""VÓS QUE IDES PASSANDO / LEMBRAI-VOS DAS ALMAS / QUE ESTÃO PENANDO"".», VIDE MARQUES, p. 18, 2001.",sd,40.898668,-8.419681,"«[...] Mandadas erigir [...] em pagamento de uma promessa, são conhecidas como as ""Alminhas da casa Almerinda"". Singelas alminhas pintadas a branco, apresentam parapeito onde assenta nicho de topo triangular. A moldura do nicho faz ligação com a cruz que encima o monumento. [...]», VIDE MARQUES, p. 18, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Não.,Sim. Gradeamento de ferro adornado.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0097-OAZ-AV,"Azagães, Rua São Salvador",Carregosa,Oliveira de Azeméis,Aveiro,"Sim. «[...] revestido por painel de azulejos [...] Cristo crucificado, ladeado por dois anjos [...]», VIDE MARQUES, p. 18, 2001.",sd,40.897965,-8.418963,"«Conhecidas como ""Alminhas da Arrepia"" [...] em granito, de formato rectangular, apresentam topo de vértices côncavos decorado lateralmente com enrolamentos e rematado por cruz de ferro. [...] Nicho de núcleo arredondado [...]», VIDE MARQUES, p. 18, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Náo.,Sim. Gradeamento de ferro.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0098-OAZ-AV,"Azagães, Rua São Salvador",Carregosa,Oliveira de Azeméis,Aveiro,"Sim. Painel em azulejo com Nossa Senhora (2020). «[...] painel em chapa onde se pintou Cristo e as almas no purgatório, que se encontra todavia algo danificado.», VIDE MARQUES, p. 17, 2001.",sd,40.895083,-8.417192,"«[...] Alminhas em granito de formato rectangular e topo de vértices côncavos rematado por cruz de ferro. O nicho de núcleo arredondado [...]», VIDE MARQUES, p. 17, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Não.,Sim. Gradeamento de ferro.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0099-OAZ-AV,"Seada, Rua São Salvador",Carregosa,Oliveira de Azeméis,Aveiro,"Sim. «[...] painel de azulejos [...] marca: Casa Nun'Álvares - Porto [...]», VIDE MARQUES, p. 25, 2001.",sd,40.891773,-8.413166,"«Alminhas em granito de feição rectangular, apresentam topo de vértices côncavos [...] Rematado por cruz, que se ergue sobre base abaulada, apresenta edícula de arco redondo sob o qual campo epigráfico hoje imperceptível [...] Na base do monumento campo epigráfico [...] indicando um restauro feito posteriormente.», VIDE MARQUES, p. 25, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Não.,Sim. Gradeamento duplo de ferro.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0100-OAZ-AV,"Azagães, Rua São Salvador",Carregosa,Oliveira de Azeméis,Aveiro,"Sim. «[...] painel de azulejos com a marca: Casa Nun'Álvares - Porto [...] Ao centro, em cima, Cristo crucificado [...]», VIDE MARQUES, p. 17, 2001.",1786,40.893643,-8.415978,"«Alminhas setecentistas em granito, com topo de vértice côncavos, rematados por cruz e decorado com estrela de seis pontas. O nicho de arco redondo, é adornado superiormente por duplo friso. [...] Em baixo, campo epigráfico de formato rectangular, desenhado por fina linha incisa, onde se inscreveu: ""ANNO DE / MDCCLXX / XVI A . 1786"". O monumento assenta sobre base de pedra utilizada como campo epigráfico, com a inscrição: ""REST. EM 1961"", data que indica um restauro sofrido.», VIDE MARQUES, p. 17, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Não.,Sim. Gradeamento de ferro.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0101-OAZ-AV,"Costeira, Rua São Salvador",Carregosa,Oliveira de Azeméis,Aveiro,"Sim. «[...] painel de azulejos representando Cristo crucificado ladeado por dois anjos, com cálices, recebendo o sangue que cai das chagas da mão [...]», VIDE MARQUES, p. 22, 2001.",1891,40.886598,-8.413298,"«Conhecidas por ""Alminhas da Costeira"" [...] Singular conjunto de três alminhas, as mais singelas colocadas lateralmente, apresentam nicho em cimento, emoldurado, de topo triangular [...] No seu interior guardam, no lado direito, a imagem de N. Sra. da Conceição e, no lado esquerdo, a do Anjo da Guarda. Ao centro, alminhas oitocentistas em granito, também de topo triangular, encimado por cruz. De formato rectangular apresentam nicho emoldurado [...] Sob  nicho, campo epigráfico, com a inscrição, avivada a negro, onde se lê: ""MANUEL FERREIRA REBELO 1891 / RES A M J / E F / TOMÁS FERREIRA REBELO / ROSA JESUS MELO / 1978"", correspondendo a primeira das datas à construção das alminhas e, a segunda, à data de um restauro.», VIDE MARQUES, p. 22, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Não.,Sim. Gradeamento de ferro.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
0102-OAZ-AV,"Seada, Rua São Salvador",Carregosa,Oliveira de Azeméis,Aveiro,"Sim. «[...] painel de azulejos com a representação de N. Sra. do Carmo, ladeada por dois anjos em plano inferior [...]», VIDE MARQUES, p. 24, 2001.",1867,40.889503,-8.412304,"«Invulgar conjunto de alminhas, apresentando dois degraus de acesso, sobre os quais se ergue o monumento. Formado por um grupo de três alminhas, as mais singelas, colocadas lateralmente apresentam nicho emoldurado em topo triangular [...] No seu interior guardam, as do lado direito, a imagem de N. Sra. de Fátima e, as do lado esquerdo, Santo António. Ao centro, alminhas oitocentistas em granito, de formato rectangular, coroadas por pináculo de remate boleado encimado por cruz. O nicho, assente em parapeito saliente, apresenta edícula envolvida por moldura decorada. Lateralmente colunas relevadas rematadas por ourela decorada com pequenos círculos. [...] Por baixo, adorno em forma de coração, serve de campo epigráfico onde se inscreveu: ""MANOEL MARTINS PEDRO / 1867"".», VIDE MARQUES, p. 24, 2001.",Inventário: Maria Clara Vide / Foto: Fernando Correia,Não.,Sim. Gradeamento de ferro.,,,,Foto: 03/10/2020,"1- VIDE MARQUES, Maria Clara de Paiva - ""Alminhas do Concelho de Oliveira de Azeméis - contributo para um inventário"", Oliveira de Azeméis, Câmara Municipal de Oliveira de Azeméis, 2001",
